label,Question 
valid,Questions were all resume based. Gave importance to Posiions of responsibilities
valid,Tell us about your project
valid,What was the biggest challenge during your intern
valid,what is your fav course (questions relating to that field)
valid,Why sales
invalid,Resume based questions
valid,Why GM, why not other auto companies?
valid,Why do you suit the job?
valid,Family Background
invalid,CV related questions
valid,Do I read or write stuff apart from my academics? About what?
valid,Explain Prisoner's Dilemma (in one sentence)
invalid,My planned career trajectory
valid,Why Sales? (Read the explanation for further elaboration on this)
valid,Why do you want to join Bankbazaar instead of big companies like Google, Microsoft, IBM etc.?
valid,What qualities will you bring to Bankbazaar?
valid,So what qualities does a team leader have? Also give an example where you needed to step up as a leader
valid,What are your weaknesses? Give an example where this weakness cost you something
valid,How does a mobile work?
valid,Write a program to convert given number to linked list
valid,Write a program to add the numbers given in linked list format
valid,Write a program to find the 2nd maximum of a given binary tree
invalid,Question based on Inorder traversal of binary tree
valid,Find the median of the given two sorted arrays ( dont sort them -  do in O(log n) time )
valid,Print the last K lines of a given large file containing millions of lines. ( Hint: have to deal with the Block size and fseek )
valid,Bending moment and shear force diagram at different location of a indeterminate structure
valid,Tension and compression members in Truss for different support conditions
valid,Tension and compression  face in frame structure, retaining wall for different loading etc
valid,Use of position relative,absolute,fixed and static
invalid,AngularJS related questions(basic)
invalid,SASS,Susy,Jade,npm,grunt,gulp,yeoman,LibSASS (just basic knowledge about them)
invalid,Sockets vs Ajax
valid,Why use node?
valid,Javascript(Closures,Prototypes,Function/variable hoisting,Function expression vs function declaration,prototypal inheritance,modular pattern,JSONP,this)
valid,How the server works?
valid,2 puzzles(josephus and 10 bags with 10 coins each)
invalid,NodeJS
valid,Which other companies have you appeared for ? What happened there ?
valid,tell us about yourself
valid,Why not family business ?
valid,You have an intern and your IDD Dissertation on optimization. Did you have choices in these?
valid,Explain any other project
valid,Tell me about yourself
invalid,Questions on BTP
valid,How was your experience after coming to IIT what did you achieve
valid,Tell me about your extracurricular activities
invalid,Questions based on your projects
valid,Questions based on your area of interest
invalid,Some basic quiestions
valid,Why you want to join NTPC?
valid,Why not private companies?
valid,Why not IT sectors?
valid,1)Tell me about yourself
valid,2) Why Bosch?
valid,3) Why should i hire you?
valid,4) Strengths and Weakness?
valid,5) What will you do if a member of a group doesn't work?
valid,6) What if your boss doesn't help u?
valid,Tell me about youself
invalid,Asked a few questions related to my m-tech project and it's application
valid,tell me your favourite subjects
valid,High Strength Concrete with special reference to Fibre Reinforced Concrete- Small Technicalities such as the strength, ductility etc.
valid,Basic Details and how'd I be an asset to the company
invalid,C++/C/Data Structure/Algorithm Related Questions
valid,Difference b/w char *str=
valid,Efficient Algorithm for checking prime number
valid,Puzzles :http://www.abc.net.au/science/surfingscientist/pdf/conundrum16.pdf
invalid,Questions on Linked List/Stack
valid,Operator Overloading
valid,Object Oriented Programming : Describe everything you know about OOP? (Encapsulation, Polymorphism, Inheritance etc.)
valid,What do you understand by Software Testing?
valid,No. of zeros in 100!
valid,How to swap two numbers without using auxiliary storage? (Explained using XOR logic)
valid,Given a pen, how would you test it? (Around 20 points were discussed)
valid,http://www.geeksforgeeks.org/merge-one-array-of-size-n-into-another-one-of-size-mn/
valid,Why do you want to work for Citrix?
valid,Which other companies did you apply for and which interview did you have today?
valid,Why should we hire you?
valid,Were you expecting a better JEE rank?
valid,Are you okay with relocating to other cities?
valid,Are you aware of salaries and other benefits we are offering? Are you okay with it?
valid,Basic HR questions, your understanding of your projects, biggest achievement so far??
valid,why would you like to join our company
invalid,Online versant
valid,Why you Joined Engg?
valid,What will you choose Honesty or Hard work?
valid,What is your family background?
valid,The choice of courses and why you chose those courses?
valid,Questions regarding the internship and the description of various softwares
invalid,Concrete-some basic question based on CE251
valid,Draw the basic Volume diagram for soil
valid,What is the plinth level in construction industry?
valid,Given a particular type of building and soil, what type of foundation would you prefer?
valid,Questions concerning the projects and resume
valid,What are the general steps to go about in the construction of a building, i.e how will you go about if you are asked to construct a building?
valid,Units of resistance, in case of concrete?
valid,Where are the tension members and compression members in case of a building
valid,Mention three qualities of yours ?
valid,Where do you see yourself in three years\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 time?
valid,What are your future plans for now?
valid,An example to demonstrate the leadership quality in you?
valid,Some mistakes that you think you committed in your life?
valid,Biggest achievement so far ?
valid,Bending moment diagram of a given framed structure ?
valid,Bending Moment diagram of an indeterminate beam. And, how to find the moments at the mid span of the beam ?
valid,Describe the basic moment distribution method to solve indeterminate systems ?
valid,Basic assumptions in Concrete Limit Design state and the method to design a beam ?
valid,Working Stress Design Method for Steel Structures ?
valid,How to design a building taking into account the earthquake loads and what are the parameters used during the procedure ?
valid,Draw a Bending Moment Diagram in a given loading case?
valid,How will you construct a green building in Rajasthan? Give a basic outline of the steps involved?
valid,Given a force in the frame structure, find the basic deflection.
valid,How many beams in the room are there?
invalid,Basic tests in geotechnical engineering e.g. Plate Load Test, DCPT, CPT, SPT and Terzaghi equations.
invalid,Some questions on the intern
valid,What are your area of interest and asked questions in the same topic?
valid,What was the thought process during the conduction of Nucleus and the main glitches during the interview? How could you have overcome those?
valid,What are your hobbies?
valid,What was the toughest situation in your life and how did you tackle it?
valid,If you are asked to construct a dam in Mizoram, what will be the problems you are expected to face and what all logistics will you be looking out for?
valid,In what situations do we prefer the use of steel structures?
valid,What is a green building?  (90 GB in India)
valid,Why Chose NTPC?
valid,How would you explain your hogh CPI?
valid,What are your strengths?
valid,What is your biggest acievement till date?
valid,Five years down the line, where do you see yourself?
valid,Would you be willing to leave the place if some other firm pays you more?
valid,Give an example of your leadership ?
valid,Where would you see yourself in 5 years and in 10 years from now?
valid,What are your hobbies?
valid,If your CPI is low, justify it.
valid,Have you dealt with any similar language problem earlier(since the posting was in chennai)?
invalid,Technical questions on Fluids/ Hydraulics
valid,What have you done in your BTP?
valid,What use your BTP can be put to? (Application of BTech Project)
valid,Design any component on your own, if given a chance?
invalid,General questions on MoS (Cantilever beam with Moment M, solve it)
valid,Tell me about yourself,
valid,What are your short term goals?
valid,What have you done in your intern? (Explain)
valid,How important is doing an MBA/ MS/ PHD/ any other higher study to you?   5
valid,What is EXXON MOBIL doing in India?
valid,What is your achievement at IITK? Explain.
valid,Tell me about yourself?
valid,What are your strength and weaknesses?
invalid,Thesis-based
invalid,Project-based
valid,Tell me about your self
valid,Tell me about your family
valid,How flexibility can help, what are its advantages and disadvantages
valid,Why is your english score bad
valid,Why transmission power is always in multiple of 11 e.g. 11kv?
valid,How to use capacitor for power factor compensation?
valid,Motor safety measures and safety measures of other machines?
valid,You are given two work profiles \xc3\xa2\xe2\x82\xac\xe2\x80\x9c office work and field work. Which one will you choose?
valid,What are your strengths, weaknesses..?
valid,What irritates you most..?
valid,What do you do in such situations..?
valid,Are you a leader or a follower...?
valid,Which one is good
invalid,My interests, apart from acads
valid,Where I see myself in 5 years...?
valid,What kind of job will excite me..?
valid,If I would like to prefer one city over the other..?
valid,And a few other questions
invalid,Resume-oriented questions
invalid,Intern-based questions
invalid,Questions related to: Leadership/ hobbies/ likes/dislikes/weakness/strengths
valid,Tell me about yourself?
valid,How was the experience in the field?
valid,Why should we hire you?
invalid,Mtech Thesis-based
valid,Speech Recognition/ Signal Processing
invalid,Introductory questions
valid,Don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you think you should go for MBA than job after your graduation because it increases your salary package by leaps and bounds?
valid,Why would you like to join Visa and why?
valid,Tell me about yourself
invalid,Puzzles based on Rubix cube
invalid,Puzzles based on Sorting algorithm
valid,Puzzles based on Highest sum in a row algorithm
valid,Let 1=1   2+2=2*2=2 2   .........................................  X+x+x+x+............=x*x=x2  Differentiate on both sides 1+1+1+1.........=2x x=2x explain where did we go   wrong?
valid,Algorithm for basic \xc3\xa2\xe2\x82\xac\xc5\x93C\xc3\xa2\xe2\x82\xac\xc2\x9d questions.
invalid,Two puzzles
invalid,Questions based on your resumes
invalid,Basic puzzles
valid,Guess the number of vehicles on the Chennai roads between 5 to 6
invalid,Basic questions on inventory model
valid,What do you know about Broadcom?
valid,Why Broadcom?
valid,Skills, strengths, weakness etc
valid,Plan for higher education?
valid,1. Things   to be kept   in mind   while   making a   deal with a   book   vendor
invalid,2.   Probability
valid,About the company
valid,About ASIC design Flow
invalid,7-8
valid,Write a program to find out whether the given string is a palindrome or not
valid,What if your manager is not satisfied with your performance after six months of your work
valid,Why should we recruit you?
valid,Would you like a job in Rand D department?
invalid,Questions on work hardening, corrosion, powder metallurgy- nucleation and growth
valid,What makes stainless steel corrosion-resistant?
valid,What coatings are made on turbine blades and why?
valid,What does BHEL manufacture?
invalid,Questions on blast furnace, connecting rods etc.
invalid,Basic Aptitude
invalid,Basic metallurgical questions
valid,Why this job?
valid,What do you want to do after graduation?
invalid,Project-based
invalid,Internship-based
valid,Would you like to go for higher studies in future?
valid,Where do you see yourself ten years from now?
valid,What do you think about the company?
valid,What is your family background?
valid,Tell us about your ethics and beliefs.
valid,How did you like Bangalore when you were doing your internship over there?
valid,Where would you like to settle after a few years?
invalid,Technical -2
valid,1) Why Coke?
valid,2) Short term and Long term career plans
valid,What do your family members do
valid,Why dont you join family business
valid,You know what are you getting into if we hire you
valid,What if we fire you
valid,What is your view about IITK academic system?
valid,Tell me about yourself ?
valid,What all have you done in your four years here, both academics and other activities?
valid,If you have a good CPI, why didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you opt for higher studies?
valid,Why this company?
valid,Summarize what was discussed in GD. Give your opinion on the entire discussion.
invalid,General questions on national and international issues like formation of  Telangana, Obama getting Nobel Prize
valid,What are the recent developments in the field of metallurgy?
invalid,Resume-based questions
invalid,Internship-based questions
valid,List all possible ways of strengthening a material.
valid,What are the different types of dislocations?
valid,Questions on BTP (Why this topic? Etc.)
invalid,Situation-based questions
valid,Why have you taken MME as your department/ how motivated are you towards your department?
valid,Which is your Dream Company?
valid,Why didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t you apply for ArcelorMittal and why JSPL?
valid,What is the Steel turnover of India?
valid,Where do you see yourself in next five years?
valid,Why not higher studies?
invalid,Current affairs
invalid,Technical-2
invalid,Project, internship, BTP-based questions
invalid,Basic coursework - department based
valid,Why you want to join company?
valid,How you would be helpful?
valid,Tell something creative that you have done,  something which you think that very few people have done
valid,Why did you choose MME dept. and why did you choose IITK?
valid,Strengths and weaknesses ?
valid,What do you think about our selection procedure?
invalid,Questions about significance of ground effect
valid,Aerodynamics of race cars v/s normal cars
invalid,Thermodynamics, heat transfer
valid,Drag coefficient value for cars
valid,How to reduce pressure in car
valid,Wind tunnel testing for car model
invalid,Thesis-based questions
invalid,General questions about automobile parts, I.C. engine
invalid,Course-related questions
invalid,Questions about fluid dynamics
invalid,Wind tunnels, materials & their properties
invalid,Solid Mechanics
invalid,Internship-based
valid,Modes of vibrations of beans
invalid,Friction + Lubrication
invalid,4-R Linkages
valid,Heat transfer, control systems
valid,MOS, design of machine elements
invalid,Flight mechanics and structures
invalid,Semiconductors & digital electronics
valid,Types of counters, to design a divide by 5 counters
invalid,Powerpoint presentation
invalid,Internship-based questions
invalid,Technical Tests
valid,Can you work in a team and how you resolve conflicts with your team mates?
valid,Ready to relocate?
valid,Will you join if offered?
valid,Estimate the sale of Vada Pav in Juhu Beach
valid,How can we increase the profit for this credit card company? (Relevant graph was provided)
valid,Increase profit for an e-commerce firm
valid,Why Cisco?
invalid,NDT
invalid,Microstructure
invalid,Corrosion
invalid,Welding
invalid,Comapany Related
valid,Steel heat treatment
valid,Intern Extensive
invalid,General HR questions
valid,What are your achievements?
valid,What would you do if your manager does not agree to you?
valid,What are your hobbies?
invalid,Technical
valid,Axial compressor functioning of GT engines
valid,Principle stress and strain
valid,Natural frequency of beam problem
valid,Shear centre, finite element methods
invalid,Fracture mechanics
invalid,Composites
valid,Strength of materials
valid,Predict next few numbers in series
valid,Algorithm to reduce size of stored matrix
valid,Bending moment and load displacement relation
valid,Derive expression of lift over air fail
valid,Write algorithm to store given data in different formats
invalid,Basic fluid dynamics questions, turbulence
valid,Discretization schemes and error analysis on CFD
valid,What are the major projects you have done?  (On Thesis )
valid,Introduce yourself, tell something other than resume?
valid,Why IITK are you capable of taking pressure in company? Give examples
valid,Family background
valid,Managerial skills,  weakness
valid,Why not higher studies
valid,Tell some products in the market you would feel proud you were part of the team?
valid,Why this company?
invalid,Practical design based & Thesis based questions
invalid,Fire design, projects
valid,Paper published
invalid,Basics of mechanics and Dynamics
invalid,IC engine
invalid,Sonar & Radar
valid,Law of Thermodynamics
invalid,Questions about Pumps
invalid,1GCC
invalid,Lube Oil
invalid,Heat Exchange
invalid,Thermodynamics
valid,Energy systems & Turbo machineries
invalid,Questions about pumps
invalid,IC engine
invalid,Internship-based
valid,Protection of synchronous generator
invalid,Drivers
invalid,Question about CFD
invalid,Turbo machinery
invalid,Aerodynamics
invalid,Propulsion
invalid,M. tech thesis
valid,Abacus, coding, previous work experience
invalid,Questions about FEM
valid,Why Ashok Leyland and what will you do in our company
valid,Basic electric drives like vector control of IM drives and HYBUS of Ashok Leyland
invalid,Thermodynamics
invalid,Fluid mechanics
valid,Aerodynamics degree of freedom
valid,Bending, Coupling during flutter
invalid,Engine based questions
valid,CFD related to SMAC and why we use staggered grid?
valid,Nusselt number and prandtl number passions
valid,Being AE why one choose automobile industry?
invalid,Questions related to IC engine
invalid,M. tech project related
invalid,Heat transfer
invalid,Diesel engine
valid,Why Hero Honda company?
invalid,Questions related to resume, intern, projects
invalid,Manufacturing process of cement company
invalid,Question related to Fundamental concepts of fluid mechanics & aerodynamics
valid,Difference between helicopter & aero plane
valid,How temperature & pressure maintain inside an aeroplane flying at 30000 ft?
invalid,CAD, FEM & manufacturing science
invalid,Thesis-based
invalid,SOM
invalid,Some design concepts
invalid,General questions
invalid,Questions about M. tech thesis
invalid,FEM
invalid,Vibration, Dynamics
invalid,Composite materials, CFD
